a,b,c
73,45,63
-7,32,-56
-85,55,24
-35,-82,72
52,11,-63
36,-19,-70
79,-65,-4
22,23,-83
87,52,100
47,-79,-98
-89,82,84
-57,26,21
-30,51,13
-73,-65,-18
5,-72,-12
-83,21,14
-42,76,-79
-74,-73,93
16,-71,-100
45,-10,-9
49,-13,14
-47,-33,-46
-38,-97,-61
-66,-50,-12
80,-55,-48
1,-78,-81
-53,-48,62
20,-65,77
-48,-60,-91
-74,-5,6
93,-68,46
47,85,61
94,-53,-72
-61,31,-76
-34,63,-47
94,-14,0
98,-24,78
-24,-90,96
84,-2,15
-62,72,-44
-53,25,-15
-62,58,94
-40,-65,-59
-46,21,-15
-16,23,100
-77,-12,84
5,-58,18
-3,-19,-74
13,23,63
-32,82,-3
7,-100,-18
58,-47,39
-44,-80,-7
36,-85,-49
47,75,-57
59,-45,5
-83,47,98
51,23,15
-6,7,-37
27,86,-52
-35,-14,-60
-1,-92,65
-34,90,-54
5,21,43
-62,17,-47
85,11,55
10,-59,18
10,55,2
92,32,-95
58,49,51
62,-97,30
13,-70,-85
-11,18,63
3,-54,-57
-74,87,-71
-62,-8,37
24,97,-53
89,-40,-75
-74,89,-87
-23,-63,-61
-88,-65,63
-51,82,41
-6,-13,91
46,66,73
84,-37,-21
14,-45,-79
64,-81,42
11,-21,-42
-93,11,62
-57,-97,68
40,-37,-89
-56,39,-84
-13,-53,-36
-81,6,-69
-97,9,-38
61,-70,-93
-73,28,-88
16,9,87
-81,-48,66
19,56,58
64,76,31
92,-35,-22
-23,0,59
74,56,68
68,-91,97
18,80,70
-27,-35,-67
51,20,-89
-76,-32,-83
9,5,-50
100,19,51
-20,-68,-2
27,-35,28
-77,-2,46
-49,68,-77
-86,92,80
6,45,60
-97,-36,-4
-70,-93,-6
-84,-100,-52
19,-42,-41
46,74,-90
-92,66,68
-39,-94,17
-52,-10,51
-24,57,44
-7,14,74
40,72,-79
9,-27,50
-44,25,48
64,-14,64
92,-86,-62
-61,-77,74
-34,26,-13
-63,-32,61
76,76,-21
63,-38,80
-8,2,95
60,31,17
-17,45,84
73,-35,-5
24,60,61
28,-12,41
-29,-18,12
27,-42,54
38,-100,96
-33,-16,-10
83,-47,24
-96,-24,-84
-87,46,12
-41,53,-9
-55,-4,37
15,44,76
58,64,2
73,19,-97
-39,-78,51
28,-91,-7
51,-61,-52
55,-45,-82
94,59,32
78,-8,0
52,89,30
-29,-81,-99
-41,-51,-73
62,9,92
30,-18,86
34,-42,-23
22,-25,-56
25,14,41
